Id,Category
10892,49
45031,15
168700,2
184542,57
276842,2
238962,0
212480,2
51590,33
291652,57
257712,57
42690,57
281222,28
58481,2
73932,33
115471,33
218820,33
71062,28
71111,57
51091,33
287022,1
288361,57
262010,7
115352,57
240570,2
35812,2
156540,2
249660,57
128492,22
162922,57
122100,33
138852,2
34030,20
284040,57
11991,1
262611,57
193270,57
249201,2
126942,53
20080,57
196491,3
103841,57
201651,56
168980,1
203910,33
277610,44
148190,57
86462,33
240231,57
246331,57
45312,33
128940,1
113552,57
1380,21
183082,57
285142,57
6242,2
3082,2
44990,1
201402,33
216201,33
176712,53
245301,39
286972,22
1272,57
199230,2
81820,39
70760,1
91460,57
96562,54
109261,57
205800,33
191270,33
21280,57
11351,1
84031,32
153542,33
270261,57
36892,53
189192,14
206562,21
6240,57
174441,2
210851,53
80352,57
152340,1
3762,2
226242,32
183780,39
209870,39
249980,56
132311,33
159351,28
290672,30
178832,39
135941,57
289021,33
250301,2
275602,57
36341,11
267082,18
261521,57
229280,57
96180,37
42402,33
90332,33
137711,57
265891,57
12181,1
201331,57
211512,2
57392,2
220460,33
28830,56
291792,24
95642,33
203892,33
59621,43
247360,11
38572,19
121550,28
21281,57
151482,33
252750,1
296380,57
184831,57
87652,33
119751,18
197522,3
167510,2
125741,57
115772,57
165010,2
27992,2
212912,53
141181,26
48181,2
98891,2
68690,2
2690,33
71570,57
67621,3
202391,57
184080,33
281461,34
192671,57
226220,57
126301,2
98450,2
290141,29
267811,57
112291,57
62211,2
169490,2
6500,52
215882,38
88650,33
193901,5
75022,33
144792,9
161100,3
182330,57
250802,2
132061,39
257271,53
270902,19
227372,33
244480,57
208712,26
298752,33
15252,33
270092,57
68510,57
222582,57
75662,57
229162,57
131502,57
193641,17
141312,12
281282,2
128042,57
264472,2
5281,57
192882,33
63011,33
27912,3
69301,2
47760,33
148830,33
172792,35
148290,18
253382,57
219761,57
267262,33
1920,57
94192,39
176690,57
262180,57
36632,33
274640,13
93491,2
82342,57
166122,33
22060,57
32462,57
6402,57
207841,33
103110,43
108780,57
257472,2
228182,57
274632,2
152201,57
155902,57
71791,2
243440,57
12810,53
134200,33
99410,2
77501,2
269290,19
202901,39
116622,41
196171,2
210631,33
195711,1
41152,57
137390,7
253751,2
228432,57
284600,33
95781,57
152301,27
194742,33
82931,48
231521,33
240242,57
92312,57
203721,57
219421,57
202650,57
167031,57
210340,37
270052,57
96550,33
123242,2
54650,57
185030,33
261840,2
40572,57
122672,57
240050,39
159301,3
147492,51
38961,57
158372,21
79200,33
219500,2
120402,33
247442,1
18891,21
110681,57
251852,2
115022,2
61991,57
56752,53
86921,57
99461,33
84692,33
79780,23
46180,57
20400,57
9631,33
110852,33
219461,13
111160,20
108230,33
205460,33
159852,57
222,57
228680,57
187352,1
92310,1
72982,57
23900,39
236640,57
111612,2
229820,3
89812,33
93020,49
10722,2
291691,30
194600,57
38022,2
151851,33
298740,12
1540,33
289260,2
193791,33
175721,2
158452,3
177011,33
256330,2
219741,57
138690,2
235890,1
176602,1
31630,33
52071,36
104231,20
195561,33
283840,33
201600,33
2282,57
274161,33
110120,57
11392,57
80812,2
226332,17
198270,57
94752,57
110492,2
2010,22
139670,2
148571,57
267821,57
107780,57
48300,37
214722,4
218622,2
158090,18
13521,33
282992,33
272162,21
258532,21
85901,57
218642,2
71220,33
64352,39
253421,33
156421,2
184532,33
95112,33
231762,44
81321,57
287821,2
170772,57
741,57
270820,2
283272,33
299660,33
245351,33
56950,2
134332,57
175360,33
160471,33
135201,2
72332,2
291261,13
283812,33
140502,18
44500,14
85992,2
36830,33
143590,56
75742,33
171400,23
288620,57
157292,21
10642,33
280201,57
17310,57
13690,33
269762,33
233251,56
256730,33
239622,33
202190,2
92990,2
231862,33
290221,57
168540,33
296231,57
185102,57
267661,57
175401,57
108041,57
287740,57
64110,33
233120,57
6391,40
58432,57
106411,1
164491,33
274642,57
285991,1
104751,2
283342,2
147940,2
112971,39
123451,43
194761,2
117811,57
155232,57
81241,3
265730,1
191811,57
109742,33
144380,44
242591,21
262511,57
139890,21
77871,2
111911,33
68832,2
205452,1
98560,2
287930,54
110221,57
149162,39
280142,13
294882,39
249602,33
155502,3
39192,41
7730,33
99082,57
131450,33
173400,2
186141,53
264161,57
152091,2
260991,57
34322,33
280712,57
76032,57
181310,39
30702,33
146902,57
171160,2
232360,6
62102,19
248780,57
85962,57
179942,3
162352,57
126351,57
68910,53
11611,6
198460,33
54770,43
200331,34
7790,37
203701,5
61031,50
103232,19
55480,18
13232,1
153811,57
284771,33
151181,34
180251,57
